cwd,exit,items,ppid,pid,comm,timedelta,pid_timedelta,id_anomalies,num_id_anomalies
/,0.0,2.0,711.0,1943.0,pkla-check-auth,,,1.0,0
/,0.0,2.0,711.0,1948.0,pkla-check-auth,0.04399991035461426,0 days 00:00:00.043999911,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1924.0,gsd-rfkill,-0.17499995231628418,-1 days +23:59:59.825000047,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1916.0,gsd-sharing,-0.12899994850158691,-1 days +23:59:59.871000051,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1922.0,gsd-keyboard,0.12399983406066895,0 days 00:00:00.123999835,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1920.0,gsd-wacom,-0.13199996948242188,-1 days +23:59:59.868000031,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1923.0,gsd-print-notif,0.13700008392333984,0 days 00:00:00.137000083,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1921.0,gsd-color,-0.0840001106262207,-1 days +23:59:59.915999890,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1931.0,gsd-screensaver,0.12100005149841309,0 days 00:00:00.121000051,1.0,0
/,0.0,2.0,711.0,1950.0,pkla-check-auth,0.1979999542236328,0 days 00:00:00.197999955,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1932.0,gsd-sound,-0.1979999542236328,-1 days +23:59:59.802000045,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1925.0,gsd-smartcard,-0.0279998779296875,-1 days +23:59:59.972000122,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1933.0,gsd-a11y-settin,0.042999982833862305,0 days 00:00:00.042999983,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1935.0,gsd-power,0.03900003433227539,0 days 00:00:00.039000035,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1928.0,gsd-media-keys,-0.06500005722045898,-1 days +23:59:59.934999942,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1927.0,gsd-datetime,-0.012000083923339844,-1 days +23:59:59.987999916,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,1934.0,gsd-housekeepin,0.03800010681152344,0 days 00:00:00.038000107,1.0,0
/,0.0,2.0,711.0,1952.0,pkla-check-auth,0.2349998950958252,0 days 00:00:00.234999895,1.0,0
/,0.0,2.0,711.0,1954.0,pkla-check-auth,0.04699993133544922,0 days 00:00:00.046999932,1.0,0
/,0.0,2.0,711.0,1956.0,pkla-check-auth,0.05300021171569824,0 days 00:00:00.053000211,1.0,0
/,0.0,2.0,711.0,1958.0,pkla-check-auth,0.05299997329711914,0 days 00:00:00.052999974,1.0,0
/,0.0,2.0,711.0,1963.0,pkla-check-auth,0.11999988555908203,0 days 00:00:00.119999885,1.0,0
/,0.0,2.0,711.0,1967.0,pkla-check-auth,0.05800008773803711,0 days 00:00:00.058000088,1.0,0
/,0.0,2.0,711.0,1974.0,pkla-check-auth,0.06399989128112793,0 days 00:00:00.063999891,1.0,0
/,0.0,2.0,711.0,1980.0,pkla-check-auth,0.03600001335144043,0 days 00:00:00.036000014,1.0,0
/,0.0,2.0,711.0,1984.0,pkla-check-auth,0.032000064849853516,0 days 00:00:00.032000064,1.0,0
/,0.0,2.0,711.0,1986.0,pkla-check-auth,0.0409998893737793,0 days 00:00:00.040999890,1.0,0
/,0.0,2.0,711.0,1989.0,pkla-check-auth,0.039999961853027344,0 days 00:00:00.039999962,1.0,0
/,0.0,2.0,711.0,1993.0,pkla-check-auth,0.10199999809265137,0 days 00:00:00.101999998,1.0,0
/,0.0,2.0,711.0,2005.0,pkla-check-auth,0.10700011253356934,0 days 00:00:00.107000112,1.0,0
/var/lib/gdm,0.0,2.0,1729.0,1994.0,ibus-engine-sim,-0.09800004959106445,-1 days +23:59:59.901999951,1.0,0
/,0.0,2.0,711.0,2011.0,pkla-check-auth,0.1979999542236328,0 days 00:00:00.197999954,1.0,0
/,0.0,2.0,711.0,2017.0,pkla-check-auth,0.051000118255615234,0 days 00:00:00.051000118,1.0,0
/,0.0,2.0,711.0,2024.0,pkla-check-auth,0.03900003433227539,0 days 00:00:00.039000034,1.0,0
/,0.0,2.0,711.0,2035.0,pkla-check-auth,0.12999987602233887,0 days 00:00:00.129999877,1.0,0
