ID,SYSCALL,CWD,PATH,PROCTITLE,EXECVE
1723373608.018:15989,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29144, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.018:15989'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/home/matteo/.cargo/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.018:15990,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29144, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.018:15990'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/home/matteo/.local/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.018:15991,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29144, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.018:15991'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/home/matteo/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.018:15992,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29144, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.018:15992'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/usr/share/Modules/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.018:15993,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29144, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.018:15993'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/usr/local/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.018:15994,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29144, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.018:15994'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/usr/local/sbin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.018:15995,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'yes', 'exit': 0, 'items': 2, 'ppid': 28988, 'pid': 29144, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'ls', 'exe': '/usr/bin/ls', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.018:15995'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/usr/bin/ls', 'inode': 34501968, 'dev': 'fd:00', 'mode': '0o100755', 'ouid': 0, 'ogid': 0, 'rdev': '00:00', 'obj': 'system_u:object_r:bin_t:s0', 'nametype': 'NORMAL', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0', 'OUID': 'root', 'OGID': 'root'}, {'item': 1, 'name': '/lib64/ld-linux-x86-64.so.2', 'inode': 50501127, 'dev': 'fd:00', 'mode': '0o100755', 'ouid': 0, 'ogid': 0, 'rdev': '00:00', 'obj': 'system_u:object_r:ld_so_t:s0', 'nametype': 'NORMAL', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0', 'OUID': 'root', 'OGID': 'root'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}","{'argc': 3, 'ARGV': ['ls', '-l', '/home/matteo/.cargo/registry/src/index.crates.io-6f17d22bba15001f/log-0.4.22/.cargo-ok']}"
1723373608.030:15996,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29145, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.030:15996'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/home/matteo/.cargo/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.030:15997,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29145, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.030:15997'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/home/matteo/.local/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
1723373608.030:15998,"{'arch': '0xc000003e', 'syscall': 59, 'success': 'no', 'exit': -2, 'items': 1, 'ppid': 28988, 'pid': 29145, 'auid': 1000, 'uid': 1000, 'gid': 1000, 'euid': 1000, 'suid': 1000, 'fsuid': 1000, 'egid': 1000, 'sgid': 1000, 'fsgid': 1000, 'tty': 'pts1', 'ses': 3, 'comm': 'find', 'exe': '/usr/bin/find', 'subj': 'unconfined_u:unconfined_r:unconfined_t:s0-s0:c0.c1023', 'key': 'exec_log', 'ARCH': 'x86_64', 'SYSCALL': 'execve', 'AUID': 'matteo', 'UID': 'matteo', 'GID': 'matteo', 'EUID': 'matteo', 'SUID': 'matteo', 'FSUID': 'matteo', 'EGID': 'matteo', 'SGID': 'matteo', 'FSGID': 'matteo', 'ARGV': ['0x7ffc841ac9a0', '0x55861f767810', '0x7ffc841ad090', '0x7ffc841afa80'], 'UID_GROUPS': ['matteo', 'wheel', 'vboxsf'], 'PPID': {'EVENT_ID': '1723373606.436:14922', 'comm': 'find', 'exe': '/usr/bin/find', 'ppid': 3241}, 'PID': {'EVENT_ID': '1723373608.030:15998'}}",{'cwd': '/home/matteo/Desktop/priv_esc_scripts/linpeas'},"[{'item': 0, 'name': '/home/matteo/bin/ls', 'nametype': 'UNKNOWN', 'cap_fp': '0x0', 'cap_fi': '0x0', 'cap_fe': 0, 'cap_fver': '0x0', 'cap_frootid': '0'}]","{'ARGV': ['find', '/', '-type', 'f', '-iname', '.*', '!', '-path', '/sys/*', '!', '-path', '/System/*', '!', '-path', '/private/var/*', '-exec', 'ls', '-l', '{}', ';']}",
