cwd,exit,items,ppid,pid,comm,timedelta,id_anomalies,num_id_anomalies
/home/matteo,0.0,3.0,30529.0,30536.0,grepconf.sh,,1.0,8
/home/matteo,0.0,2.0,30536.0,30537.0,grep,0.006999969482421875,1.0,8
/home/matteo,0.0,3.0,30529.0,30538.0,grepconf.sh,0.006999969482421875,1.0,8
/home/matteo,0.0,2.0,30538.0,30539.0,grep,0.002000093460083008,1.0,8
/home/matteo,0.0,2.0,30540.0,30541.0,cat,0.006999969482421875,1.0,8
/home/matteo,0.0,2.0,30540.0,30542.0,tr,0.0009999275207519531,1.0,8
/home/matteo,0.0,2.0,30544.0,30545.0,flatpak,0.02200007438659668,1.0,8
/home/matteo,0.0,2.0,30547.0,30548.0,locale,0.08500003814697266,1.0,8
/home/matteo,0.0,2.0,30529.0,30549.0,sed,0.0029997825622558594,1.0,8
/home/matteo,0.0,2.0,30554.0,30555.0,tclsh,0.0070002079010009766,1.0,8
/home/matteo,0.0,2.0,30557.0,30558.0,ps,0.056999921798706055,1.0,8
/home/matteo,0.0,2.0,30529.0,30557.0,basename,0.007999897003173828,1.0,8
/home/matteo,0.0,2.0,30559.0,30560.0,readlink,0.019999980926513672,1.0,8
/home/matteo,0.0,2.0,30529.0,30559.0,basename,0.0070002079010009766,1.0,8
,,,,,,-4.009000062942505,0.0,0
/var/log,0.0,2.0,30529.0,30570.0,ls,15.103999853134155,1.0,8
/var/log,0.0,2.0,30529.0,30576.0,tail,8.718000173568726,1.0,8
,,,,,,6.2230000495910645,0.0,0
/var/log,0.0,2.0,30529.0,30584.0,wc,2.5199999809265137,1.0,8
,,,,,,-2.4580001831054688,0.0,0
/var/log/laurel,0.0,2.0,30529.0,30587.0,ls,27.99400019645691,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30591.0,tail,6.491999864578247,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30597.0,wc,49.865999937057495,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30598.0,wc,5.450000047683716,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30599.0,wc,2.7160000801086426,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30603.0,tail,9.42799997329712,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30604.0,tail,13.749000072479248,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30605.0,tail,13.937999963760376,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30611.0,wc,16.228999853134155,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30616.0,tail,9.722000122070312,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30617.0,tail,14.986000061035156,1.0,8
/,0.0,2.0,1.0,30622.0,fprintd,12.226999998092651,1.0,8
,,,,,,0.08099985122680664,0.0,0
/,0.0,2.0,2210.0,30629.0,gdm-session-wor,0.871999979019165,5.0,4
/,0.0,2.0,30629.0,30633.0,unix_chkpwd,0.17100000381469727,5.0,4
,,,,,,-1.1719999313354492,0.0,0
/,0.0,2.0,30629.0,30634.0,unix_chkpwd,5.101000070571899,5.0,4
,,,,,,0.06500005722045898,0.0,0
/,0.0,2.0,30629.0,30636.0,unix_chkpwd,0.0009999275207519531,5.0,4
,,,,,,0.0,0.0,0
,,,,,,0.0,0.0,0
/,0.0,2.0,712.0,30637.0,pkla-check-auth,0.312999963760376,1.0,0
/,0.0,2.0,712.0,30639.0,pkla-check-auth,0.7950000762939453,1.0,0
/,0.0,2.0,712.0,30641.0,pkla-check-auth,0.3559999465942383,1.0,0
/var/log/laurel,0.0,2.0,30529.0,30651.0,tail,1.9579999446868896,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30654.0,tail,9.325999975204468,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30655.0,clear,10.38700008392334,1.0,8
/var/log/laurel,0.0,2.0,30529.0,30656.0,ls,0.9219999313354492,1.0,8
,,,,,,0.9620001316070557,0.0,0
,,,,,,0.08299994468688965,0.0,0
/var/log/laurel,0.0,2.0,30529.0,30670.0,cp,20.460999965667725,1.0,8
