LineId,Time,Time,Content,EventId,EventTemplate,ParameterList
1,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53766"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""53766"",""message"":""(root)","CMD (/cinecalocal/scripts/clean_shm_files.sh)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",4b700d2d,"CMD <*> <*> +0100""}","['(/cinecalocal/scripts/clean_shm_files.sh)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01']"
2,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53767"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""53767"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '00:00:01']"
3,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53822"",""message"":""(a07cmc01)","{""host"":""login01"",""ident"":""CROND"",""pid"":""53822"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",025a764c,"CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:00:01']
4,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53823"",""message"":""(a07cmc01)","{""host"":""login01"",""ident"":""CROND"",""pid"":""53823"",""message"":""(a07cmc01)","CMD (/g100_work/CMCC_medfs_0/download/dasDwlRawScripts/ecmwfRollingRm.sh >> /g100_work/CMCC_medfs_0/download/LOGS/ecmwfRolling.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",d0d214ba,"CMD (/g100_work/CMCC_medfs_0/download/dasDwlRawScripts/ecmwfRollingRm.sh >> /g100_work/CMCC_medfs_0/download/LOGS/ecmwfRolling.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",[]
5,"{""host"":""login01"",""ident"":""CROND"",""pid"":""55382"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""55382"",""message"":""(root)","CMD (run-parts /etc/cron.hourly)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",960e97e5,"CMD (run-parts /etc/cron.hourly)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:01:01']
6,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""55382"",""message"":""(/etc/cron.hourly)","{""host"":""login01"",""ident"":""run-parts"",""pid"":""55382"",""message"":""(/etc/cron.hourly)","starting 0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",1691bc66,"starting <*> <*> +0100""}","['0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01']"
7,"{""host"":""login01"",""ident"":""anacron"",""pid"":""55392"",""message"":""Anacron","{""host"":""login01"",""ident"":""anacron"",""pid"":""55392"",""message"":""Anacron","started on 2024-03-27"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",79e38360,"started on 2024-03-27"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:01:01']
8,"{""host"":""login01"",""ident"":""anacron"",""pid"":""55392"",""message"":""Normal","{""host"":""login01"",""ident"":""anacron"",""pid"":""55392"",""message"":""Normal","exit (0 jobs run)"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",bcd30937,"exit <*> <*> run)"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['(0 jobs', '00:01:01']"
9,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""55382"",""message"":""(/etc/cron.hourly)","{""host"":""login01"",""ident"":""run-parts"",""pid"":""55382"",""message"":""(/etc/cron.hourly)","finished 0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",54d6b46c,"finished <*> <*> +0100""}","['0anacron"",""severity"":""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01']"
10,"{""host"":""login01"",""ident"":""CROND"",""pid"":""1182"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""1182"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:05:01 +0100""}",ee2aaa0c,"CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:05:01']
