LineId,Content,EventId,EventTemplate,ParameterList
1,Message,4c2a8fe7,Message,[]
2,Process 31133 (assert_value) of user 25356 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['31133 (assert_value)', '25356']"
3,Process 31191 (segfault_value) of user 25356 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['31191 (segfault_value)', '25356']"
4,Package file size:  7304631,90c8319a,<*> file size <*>,[]
5,Signature archive file size:  11715,333fcc43,Signature archive file size 11715,[]
6,Manifest file size:  6547,90c8319a,<*> file size <*>,[]
7,Signature file size:  12125,90c8319a,<*> file size <*>,[]
8,ManifestPackageIntegrityPolicy succeeded.,71bf39fc,ManifestPackageIntegrityPolicy succeeded.,[]
9,SignatureIntegrityPolicy for primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,['SignatureIntegrityPolicy']
10,SignatureValidityPolicy for primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,['SignatureValidityPolicy']
11,SignatureIntegrityPolicy for primary timestamp signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
12,SignatureValidityPolicy for primary timestamp signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
13,X.509 certificate chain validation will use the fallback certificate bundle for timestamping.,03351e85,X.509 certificate chain validation will use the fallback certificate bundle for <*>,['timestamping.']
14,SignatureTrustPolicy for repository primary signature timestamp signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
15,X.509 certificate chain validation will use the fallback certificate bundle for code signing.,03351e85,X.509 certificate chain validation will use the fallback certificate bundle for <*>,['code signing.']
16,SignatureTrustPolicy for repository primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
17,RepositoryCountersignaturePolicy for repository primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
18,Primary signature type:  repository primary signature,b821cec6,Primary signature <*>,['type:  repository primary signature']
19,Primary signature status:  OK,b821cec6,Primary signature <*>,['status:  OK']
20,Timestamp signature status:  OK,0db32691,Timestamp signature status OK,[]
21,Exit code:  Success,b1723744,Exit code Success,[]
22,Package file size:  7304631,90c8319a,<*> file size <*>,[]
23,Signature archive file size:  11715,333fcc43,Signature archive file size 11715,[]
24,Manifest file size:  6547,90c8319a,<*> file size <*>,[]
25,Signature file size:  12125,90c8319a,<*> file size <*>,[]
26,ManifestPackageIntegrityPolicy succeeded.,71bf39fc,ManifestPackageIntegrityPolicy succeeded.,[]
27,SignatureIntegrityPolicy for primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,['SignatureIntegrityPolicy']
28,SignatureValidityPolicy for primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,['SignatureValidityPolicy']
29,SignatureIntegrityPolicy for primary timestamp signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
30,SignatureValidityPolicy for primary timestamp signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
31,X.509 certificate chain validation will use the fallback certificate bundle for timestamping.,03351e85,X.509 certificate chain validation will use the fallback certificate bundle for <*>,['timestamping.']
32,SignatureTrustPolicy for repository primary signature timestamp signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
33,X.509 certificate chain validation will use the fallback certificate bundle for code signing.,03351e85,X.509 certificate chain validation will use the fallback certificate bundle for <*>,['code signing.']
34,SignatureTrustPolicy for repository primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
35,RepositoryCountersignaturePolicy for repository primary signature succeeded.,dcb3a045,<*> for primary signature succeeded.,[]
36,Primary signature type:  repository primary signature,b821cec6,Primary signature <*>,['type:  repository primary signature']
37,Primary signature status:  OK,b821cec6,Primary signature <*>,['status:  OK']
38,Timestamp signature status:  OK,0db32691,Timestamp signature status OK,[]
39,Exit code:  Success,b1723744,Exit code Success,[]
40,Process 59565 (fakestokes) of user 33712 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['59565 (fakestokes)', '33712']"
41,Process 59480 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['59480 (node)', '125206']"
42,Process 15704 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['15704 (node)', '125206']"
43,Process 2793 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['2793 (node)', '125206']"
44,Process 25270 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['25270 (node)', '125206']"
45,Process 42872 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['42872 (node)', '125206']"
46,Process 59089 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['59089 (node)', '125206']"
47,Process 3994 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['3994 (node)', '125206']"
48,Process 22808 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['22808 (node)', '125206']"
49,Process 37224 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['37224 (node)', '125206']"
50,Process 43699 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['43699 (node)', '125206']"
51,Process 53430 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['53430 (node)', '125206']"
52,Process 13844 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['13844 (node)', '125206']"
53,Process 24990 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['24990 (node)', '125206']"
54,Process 32849 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['32849 (node)', '125206']"
55,Process 46047 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['46047 (node)', '125206']"
56,Process 15736 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['15736 (node)', '125206']"
57,Process 18670 (cpptools) of user 34871 dumped core.#012#012Stack trace of thread 18697:#012#0  0x00007f0a63950150 n/a ([pie]),caaa7ba5,Process 18670 (cpptools) of user 34871 dumped core.#012#012Stack trace of thread 18697 #012#0 0x00007f0a63950150 n/a ([pie]),[]
58,Process 31933 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['31933 (node)', '125206']"
59,Process 38017 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['38017 (node)', '125206']"
60,Process 42719 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['42719 (node)', '125206']"
61,Process 47134 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['47134 (node)', '125206']"
62,Process 48987 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['48987 (node)', '125206']"
63,Process 53951 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['53951 (node)', '125206']"
64,Process 1197 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['1197 (node)', '125206']"
65,Process 7654 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['7654 (node)', '125206']"
66,Process 16664 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['16664 (node)', '125206']"
67,Process 22570 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['22570 (node)', '125206']"
68,Process 28492 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['28492 (node)', '125206']"
69,Process 51050 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['51050 (node)', '125206']"
70,Process 5200 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['5200 (node)', '125206']"
71,Process 12739 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['12739 (node)', '125206']"
72,Process 19132 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['19132 (node)', '125206']"
73,Process 25678 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['25678 (node)', '125206']"
74,Process 43301 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['43301 (node)', '125206']"
75,Process 51994 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['51994 (node)', '125206']"
76,Process 59139 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['59139 (node)', '125206']"
77,Process 30983 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['30983 (node)', '125206']"
78,Process 56938 (watch) of user 28109 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['56938 (watch)', '28109']"
79,Process 59995 (watch) of user 28109 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['59995 (watch)', '28109']"
80,Process 20774 (node) of user 125206 dumped core.,77e1dc26,Process <*> <*> of user <*> dumped core.,"['20774 (node)', '125206']"
