EventId,EventTemplate,Occurrences
4c2a8fe7,Message,1
98fdb971,Process 31133 (assert_value) of user 25356 dumped core.,1
3ea09be2,Process 31191 (segfault_value) of user 25356 dumped core.,1
e0bc86c6,Package file size: 7304631,2
0b7d5af8,Signature archive file size: 11715,2
c17a781d,Manifest file size: 6547,2
7427c4a9,Signature file size: 12125,2
71bf39fc,ManifestPackageIntegrityPolicy succeeded.,2
dcb3a045,<*> for primary signature succeeded.,4
588b4cef,<*> for primary timestamp signature succeeded.,4
bfbcf701,X.509 certificate chain validation will use the fallback certificate bundle for timestamping.,2
4cec1e43,SignatureTrustPolicy for repository primary signature timestamp signature succeeded.,2
dc62c784,X.509 certificate chain validation will use the fallback certificate bundle for code signing.,2
f237e71a,<*> for repository primary signature succeeded.,4
694fd2bc,Primary signature type: repository primary signature,2
06510f35,Primary signature status: OK,2
e8d7a62f,Timestamp signature status: OK,2
0817a478,Exit code: Success,2
d2eb3f5b,Process 59565 (fakestokes) of user 33712 dumped core.,1
8138b42a,Process <*> (node) of user 125206 dumped core.,195
4964251b,Process 18670 (cpptools) of user 34871 dumped core.#012#012Stack trace of thread 18697:#012#0 0x00007f0a63950150 n/a ([pie]),1
48e3eeca,Process <*> (watch) of user 28109 dumped core.,2
4757f129,Process 23021 (hisat2-align-s) of user 31676 dumped core.#012#012Stack trace of thread 23703:#012#0 0x0000000000538c0d _ZN7tthread10fast_mutex8try_lockEv (/g100/prod/opt/applications/hisat2/2.2.1/gnu--10.2.0--gcc--8.3.1/bin/hisat2-align-s)#012#012Stack trace of thread 23674:#012#0 0x00007fa7221b3c8b n/a (n/a),1
fc69677f,Process 16448 (paraview) of user 125998 dumped core.,1
c88ef860,Process 7377 (stlimb) of user 34460 dumped core.,1
