LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
1,2024-03-27T00:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53766"",""message"":""(root)","CMD (/cinecalocal/scripts/clean_shm_files.sh)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:00:01']
2,2024-03-27T00:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53767"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:00:01']
3,2024-03-27T00:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53822"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:00:01']
4,2024-03-27T00:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""53823"",""message"":""(a07cmc01)","CMD (/g100_work/CMCC_medfs_0/download/dasDwlRawScripts/ecmwfRollingRm.sh >> /g100_work/CMCC_medfs_0/download/LOGS/ecmwfRolling.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:00:01']
5,2024-03-27T00:01:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""55382"",""message"":""(root)","CMD (run-parts /etc/cron.hourly)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:01:01']
6,2024-03-27T00:01:01+01:00,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""55382"",""message"":""(/etc/cron.hourly)","starting 0anacron"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:01:01']
7,2024-03-27T00:01:01+01:00,"{""host"":""login01"",""ident"":""anacron"",""pid"":""55392"",""message"":""Anacron","started on 2024-03-27"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:01:01']
8,2024-03-27T00:01:01+01:00,"{""host"":""login01"",""ident"":""anacron"",""pid"":""55392"",""message"":""Normal","exit (0 jobs run)"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:01:01']
9,2024-03-27T00:01:01+01:00,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""55382"",""message"":""(/etc/cron.hourly)","finished 0anacron"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 00:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:01:01']
10,2024-03-27T00:05:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""1182"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:05:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:05:01']
11,2024-03-27T00:07:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""4227"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 2 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:07:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:07:01']
12,2024-03-27T00:10:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""8025"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:10:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:10:01']
13,2024-03-27T00:15:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""14516"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:15:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:15:01']
14,2024-03-27T00:20:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""46484"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:20:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:20:01']
15,2024-03-27T00:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""3856"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:30:01']
16,2024-03-27T00:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""3889"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:30:01']
